GEO_NAME,C14_RATE_LOW_CI_MEN+_change,C15_RATE_LOW_CI_WOMEN+_change,C14_RATE_LOW_CI_MEN+_19,C14_RATE_LOW_CI_MEN+_20,C15_RATE_LOW_CI_WOMEN+_19,C15_RATE_LOW_CI_WOMEN+_20
"Brockville, City (CY)",3.201595436707911,5.6954736631283795,46633.0,48126.0,39944.0,42219.0
"Elizabethtown-Kitley, Township (TP)",2.571616417770264,7.050668658249119,53235.0,54604.0,42847.0,45868.0
Brooks,-0.04671889599654999,6.911491644316071,55652.0,55626.0,38776.0,41456.0
"Brooks, City (CY)",-0.04671889599654999,6.911491644316071,55652.0,55626.0,38776.0,41456.0
Calgary,-1.4517299782240503,2.774196069237682,78527.0,77387.0,51186.0,52606.0
"Airdrie, City (CY)",-2.615211192891718,3.639254290443419,75405.0,73433.0,45916.0,47587.0
"Beiseker, Village (VL)",-2.06752159120649,6.357284330985916,45852.0,44904.0,36352.0,38663.0
"Calgary, City (CY)",-0.9017038007863696,2.795820942244483,76300.0,75612.0,51112.0,52541.0
"Chestermere, City (CY)",-3.7517062245722843,3.604045958951193,75459.0,72628.0,50915.0,52750.0
"Cochrane, Town (T)",-2.5778467397820646,2.153443398218131,85071.0,82878.0,47366.0,48386.0
"Crossfield, Town (T)",-3.100149476831091,0.2860852005000481,66900.0,64826.0,41596.0,41715.0
"Irricana, Town (T)",-1.5975491909451651,11.513829845966985,48637.0,47860.0,36226.0,40397.0
"Rocky View County, Municipal district (MD)",-9.631011547480348,-1.3056848267583168,135614.0,122553.0,60811.0,60017.0
"Tsuu T'ina Nation 145, Indian reserve (IRI)",,,,,,
Campbell River,2.7392834063330223,6.934220522358735,55708.0,57234.0,38173.0,40820.0
"Campbell River, City (CY)",2.1577032527646702,7.1415496456682614,55522.0,56720.0,38241.0,40972.0
"Campbell River 11, Indian reserve (IRI)",23.51086956521739,15.915853574147118,27600.0,34089.0,28902.0,33502.0
"Homalco 9, Indian reserve (IRI)",,,,,,
"Nenagwas 12, Indian reserve (IRI)",,,,,,
"Quinsam 12, Indian reserve (IRI)",21.131795181282207,12.09114296214627,43082.0,52186.0,32652.0,36600.0
"Strathcona D (Oyster Bay - Buttle Lake), Regional district electoral area (RDA)",4.299920307681647,4.22292824993381,57722.0,60204.0,37770.0,39365.0
Campbellton,5.293631100082713,5.105415460934271,38688.0,40736.0,33866.0,35595.0
"Addington, Parish (P)",5.290729566648382,-6.903455179317248,36460.0,38389.0,28971.0,26971.0
"Atholville, Village (VL)",1.898206651789315,6.310781292079357,37193.0,37899.0,33419.0,35528.0
"Campbellton, City (C)",9.001757269996032,6.002081292850147,35282.0,38458.0,32672.0,34633.0
"Listuguj, Indian reserve (IRI)",,,,,,
"Pointe-à-la-Croix, Municipalité (MÉ)",7.701670908487331,6.867378300670874,36148.0,38932.0,30259.0,32337.0
"Tide Head, Village (VL)",3.6488727808833463,2.7436663347715453,48837.0,50619.0,36156.0,37148.0
Camrose,-3.334425692282484,7.339726648040474,61030.0,58995.0,39729.0,42645.0
"Camrose, City (CY)",-3.334425692282484,7.339726648040474,61030.0,58995.0,39729.0,42645.0
Canmore,0.3627843700400574,1.3063835871041534,79386.0,79674.0,55956.0,56687.0
"Canmore, Town (T)",0.3627843700400574,1.3063835871041534,79386.0,79674.0,55956.0,56687.0
Cape Breton,2.0459833036814015,8.192106460418563,43842.0,44739.0,35168.0,38049.0
"Cape Breton, Regional municipality (RGM)",1.763490137934133,7.927861819823888,44514.0,45299.0,35432.0,38241.0
"Eskasoni 3, Indian reserve (IRI)",25.506424619324157,28.39205022593674,21869.0,27447.0,25007.0,32107.0
"Membertou 28B, Indian reserve (IRI)",5.777068934963672,11.020733652312598,28215.0,29845.0,31350.0,34805.0
Centre Wellington,-0.24667816822543054,5.472126910565483,66078.0,65915.0,44882.0,47338.0
"Centre Wellington, Township (TP)",-0.24667816822543054,5.472126910565483,66078.0,65915.0,44882.0,47338.0
Charlottetown,5.023162134944612,7.366272146207501,49650.0,52144.0,41147.0,44178.0
"Brackley, Rural municipality (RM)",1.481048426386047,16.97033966387095,41052.0,41660.0,31119.0,36400.0
"Charlottetown, City (CY)",6.619473695781212,8.189677352956311,45487.0,48498.0,38866.0,42049.0
"Clyde River, Rural municipality (RM)",7.548664796453735,-2.247917443739898,46697.0,50222.0,40215.0,39311.0
"Cornwall, Town (T)",5.0557422739568825,7.744558355638604,48796.0,51263.0,39602.0,42669.0
"Crossroads, Fire district (FD)",5.416879594323676,3.2665148063781317,50878.0,53634.0,43900.0,45334.0
"East River, Part 1, Fire district (FD)",6.767802715433638,9.314758242915833,43308.0,46239.0,37972.0,41509.0
"East River, Part 2, Fire district (FD)",-7.561686129024227,6.983674116341734,40163.0,37126.0,31545.0,33748.0
"Hunter River, Rural municipality (RM)",24.602610614504243,6.658549577657713,26737.0,33315.0,26282.0,28032.0
"Johnstons River, Fire district (FD)",9.932811342715056,1.3148400545177583,37804.0,41559.0,37419.0,37911.0
"Kingston, Rural municipality (RM)",8.432742031851989,7.824363688458049,48537.0,52630.0,41882.0,45159.0
"Miltonvale Park, Rural municipality (RM)",-4.02147342184729,8.156636059032662,41726.0,40048.0,39097.0,42286.0
"Mount Stewart, Rural municipality (RM)",,,,,,
"New Glasgow, Fire district (FD)",6.116307265956525,7.424674321336282,46188.0,49013.0,37537.0,40324.0
"North Shore, Rural municipality (RM)",0.4216595736335288,5.089563687226459,50989.0,51204.0,44326.0,46582.0
"North Shore, Fire district (FD)",4.909004374135939,8.385744234800839,44123.0,46289.0,37206.0,40326.0
"Rocky Point 3, Indian reserve (IRI)",,,,,,
"Scotchfort 4, Indian reserve (IRI)",,,,,,
"Stratford, Town (T)",2.673447647847153,6.9424903271192395,58202.0,59758.0,45488.0,48646.0
"Union Road, Rural municipality (RM)",,,,,,
"Warren Grove, Rural municipality (RM)",6.80599277136528,10.30420752529841,34308.0,36643.0,31919.0,35208.0
"West River, Rural municipality (RM)",2.1798763761384,6.520798880549548,54682.0,55874.0,39305.0,41868.0
"Winsloe North, Fire district (FD)",11.933479532163743,19.50456781447646,38304.0,42875.0,28460.0,34011.0
"York, Rural municipality (RM)",6.1533422240939615,13.701807228915664,42741.0,45371.0,33200.0,37749.0
Chatham-Kent,7.10464900142506,6.703778588871676,48419.0,51859.0,38083.0,40636.0
"Chatham-Kent, Municipality (MU)",7.080814541253172,6.7254917408545385,48469.0,51901.0,38079.0,40640.0
"Moravian 47, Indian reserve (IRI)",8.102981029810298,12.602711229761121,25830.0,27923.0,28843.0,32478.0
Chilliwack,3.5841901844964634,8.23918141121296,54852.0,56818.0,37528.0,40620.0
"Aitchelitch 9, Indian reserve (IRI)",,,,,,
"Cheam 1, Indian reserve (IRI)",,,,,,
"Chilliwack, City (CY)",3.910745530963075,9.046767868100206,55437.0,57605.0,37483.0,40874.0
"Fraser Valley D, Regional district electoral area (RDA)",7.901912000272655,4.376209595886652,58682.0,63319.0,34619.0,36134.0
"Fraser Valley E, Regional district electoral area (RDA)",10.917795163899909,10.041329145313275,45119.0,50045.0,30245.0,33282.0
"Fraser Valley H, Regional district electoral area (RDA)",-1.5070981632241136,4.794753207389407,59452.0,58556.0,38271.0,40106.0
"Harrison Hot Springs, Village (VL)",0.7040632314008364,5.691640661677391,52126.0,52493.0,36211.0,38272.0
"Kent, District municipality (DM)",2.4497591762165754,8.251938511767106,48168.0,49348.0,36755.0,39788.0
"Kwawkwawapilt 6, Indian reserve (IRI)",2.453149756870458,0.12221316939485966,36606.0,37504.0,27002.0,27035.0
"Popkum 1, Indian reserve (IRI)",,,,,,
"Schelowat 1, Indian reserve (IRI)",,,,,,
"Scowlitz 1, Indian reserve (IRI)",,,,,,
"Seabird Island, Indian reserve (IRI)",4.307622913847542,11.114021629308086,26604.0,27750.0,26723.0,29693.0
"Skowkale, Indian reserve (IRI)",-1.7390197866519626,5.725670498084291,47153.0,46333.0,32625.0,34493.0
"Skwah 4, Indian reserve (IRI)",,,,,,
"Skwali 3, Indian reserve (IRI)",,,,,,
"Skway 5, Indian reserve (IRI)",,,,,,
"Soowahlie 14, Indian reserve (IRI)",,,,,,
"Squiaala, Indian reserve (IRI)",,,,,,
"Tseatah 2, Indian reserve (IRI)",,,,,,
"Tzeachten 13, Indian reserve (IRI)",-0.5283510949233329,-0.09399921161951545,44478.0,44243.0,32979.0,32948.0
"Yakweakwioose 12, Indian reserve (IRI)",,,,,,
Cobourg,4.703168144165092,6.460660455587533,55048.0,57637.0,41002.0,43651.0
"Cobourg, Town (T)",4.703168144165092,6.460660455587533,55048.0,57637.0,41002.0,43651.0
Collingwood,-8.89696814388904,5.181689892397248,62437.0,56882.0,45352.0,47702.0
"Collingwood, Town (T)",-8.89696814388904,5.181689892397248,62437.0,56882.0,45352.0,47702.0
Corner Brook,0.07484587658308876,4.012782230604013,50771.0,50809.0,38178.0,39710.0
"Corner Brook, City (CY)",2.247686205376818,4.652676102163657,47649.0,48720.0,36882.0,38598.0
"Division No.  5, Subd. F, Subdivision of unorganized (SNO)",3.886476755268453,-0.8021506308806313,56658.0,58860.0,46126.0,45756.0
"Hughes Brook, Town (T)",,,,,,
"Humber Arm South, Town (T)",-4.802253311296818,3.928461301264261,42959.0,40896.0,32430.0,33704.0
"Irishtown-Summerside, Town (T)",-2.4922734577821735,14.458211941451085,40445.0,39437.0,28489.0,32608.0
"Massey Drive, Town (T)",-2.3191943851083305,-1.969253137762193,62263.0,60819.0,46769.0,45848.0
"Meadows, Town (T)",1.0652386710427821,9.900952668985331,34734.0,35104.0,26452.0,29071.0
"Mount Moriah, Town (T)",-2.7571029400855567,12.08841364021647,40441.0,39326.0,30674.0,34382.0
"Pasadena, Town (T)",-3.808336044536023,2.4299930571626938,55326.0,53219.0,38889.0,39834.0
"Steady Brook, Town (T)",-6.904850683027694,-7.066317579421846,59002.0,54928.0,37049.0,34431.0
Cornwall,3.9011329438838733,7.796134920416748,45192.0,46955.0,36377.0,39213.0
"Cornwall, City (CY)",5.675566246695405,8.974132863021751,41987.0,44370.0,34020.0,37073.0
"South Stormont, Township (TP)",0.09182399177257033,5.044776119402985,54452.0,54502.0,43550.0,45747.0
Courtenay,2.140057020669993,6.1482867321048715,56120.0,57321.0,39019.0,41418.0
"Comox, Town (T)",1.5965019320724017,5.16068146823623,59004.0,59946.0,40266.0,42344.0
"Comox 1, Indian reserve (IRI)",3.843452722977718,2.8763900769888795,31326.0,32530.0,28056.0,28863.0
"Comox Valley A, Regional district electoral area (RDA)",2.2440066000194117,4.8700500122981065,51515.0,52671.0,36591.0,38373.0
"Comox Valley B (Lazo North), Regional district electoral area (RDA)",-1.5035040597696891,6.274170567881132,64782.0,63808.0,39304.0,41770.0
"Courtenay, City (CY)",3.864313634428577,7.765413693962304,51678.0,53675.0,37564.0,40481.0
"Cumberland, Village (VL)",5.903666212203276,6.703668607012318,53543.0,56704.0,36935.0,39411.0
Cowansville,3.2136799156466327,7.620764652014652,43626.0,45028.0,34944.0,37607.0
"Cowansville, Ville (V)",3.2136799156466327,7.620764652014652,43626.0,45028.0,34944.0,37607.0
Cranbrook,-0.7137747396868294,5.784809162243835,62905.0,62456.0,39379.0,41657.0
"Cassimayooks (Mayook) 5, Indian reserve (IRI)",,,,,,
"Cranbrook, City (CY)",-0.20523259694320228,6.525937449707634,59932.0,59809.0,37282.0,39715.0
"East Kootenay C, Regional district electoral area (RDA)",-2.3264831329972857,4.932421391722496,69633.0,68013.0,42839.0,44952.0
"Isidore's Ranch 4, Indian reserve (IRI)",,,,,,
Dawson Creek,-4.591983437805509,7.476542965365287,69556.0,66362.0,40393.0,43413.0
"Dawson Creek, City (CY)",-1.2568844035568136,10.972274495044536,65002.0,64185.0,39855.0,44228.0
"Peace River D, Regional district electoral area (RDA)",-9.808915498779886,0.30927835051546393,74993.0,67637.0,39770.0,39893.0
"Pouce Coupe, Village (VL)",-12.14722918292733,-0.6928877114326473,73029.0,64158.0,34349.0,34111.0
Dolbeau-Mistassini,2.2015887754049315,7.155946766004746,48465.0,49532.0,33287.0,35669.0
"Dolbeau-Mistassini, Ville (V)",2.158944792401178,7.091202486253885,48218.0,49259.0,33464.0,35837.0
"Saint-Eugène-d'Argentenay, Municipalité (MÉ)",1.9733891463596949,4.252001984267593,40134.0,40926.0,28222.0,29422.0
"Sainte-Jeanne-d'Arc, Village (VL)",3.0634894044727363,8.700938998851585,47756.0,49219.0,29606.0,32182.0
Drummondville,6.136127431225741,8.327633846743085,47147.0,50040.0,36553.0,39597.0
"Drummondville, Ville (V)",6.592753069113462,8.374492371858192,47082.0,50186.0,36444.0,39496.0
"L'Avenir, Municipalité (MÉ)",7.9595438881573415,9.22597947042323,35693.0,38534.0,32441.0,35434.0
"Lefebvre, Municipalité (MÉ)",10.159206781145414,6.016177957532862,31971.0,35219.0,31648.0,33552.0
"Notre-Dame-du-Bon-Conseil, Village (VL)",4.540134155674605,9.438815035170897,44426.0,46443.0,32271.0,35317.0
"Notre-Dame-du-Bon-Conseil, Paroisse (municipalité de) (PE)",1.8752660173756293,9.439973723107242,39941.0,40690.0,30445.0,33319.0
"Saint-Bonaventure, Municipalité (MÉ)",6.139681328117546,1.4362539349422876,41924.0,44498.0,30496.0,30934.0
"Saint-Cyrille-de-Wendover, Municipalité (MÉ)",7.284434842796317,8.988885876931418,47677.0,51150.0,36890.0,40206.0
"Saint-Edmond-de-Grantham, Paroisse (municipalité de) (PE)",0.6929535551068127,10.40213080107698,47045.0,47371.0,34541.0,38134.0
"Saint-Germain-de-Grantham, Municipalité (MÉ)",4.492448039932871,7.479657272188392,46478.0,48566.0,37114.0,39890.0
"Saint-Lucien, Municipalité (MÉ)",3.128944557724051,8.485808495506562,41196.0,42485.0,30934.0,33559.0
"Saint-Majorique-de-Grantham, Paroisse (municipalité de) (PE)",5.865454617004112,12.984747002870488,50823.0,53804.0,35534.0,40148.0
"Wickham, Municipalité (MÉ)",3.9794018809080582,11.218216084283375,41363.0,43009.0,32367.0,35998.0
Duncan,1.3064985084771363,8.876419505678022,52966.0,53658.0,37425.0,40747.0
"Cowichan, Indian reserve (IRI)",2.753795163468227,6.4750000000000005,24439.0,25112.0,28000.0,29813.0
"Cowichan Valley D, Regional district electoral area (RDA)",-2.6799333120499447,2.8247347237467983,56382.0,54871.0,40995.0,42153.0
"Cowichan Valley E, Regional district electoral area (RDA)",5.688176804476471,6.3355310543520424,49682.0,52508.0,36098.0,38385.0
"Duncan, City (CY)",3.7653964829541176,11.53893055301506,39863.0,41364.0,32802.0,36587.0
"Halalt 2, Indian reserve (IRI)",,,,,,
"Kil-pah-las 3, Indian reserve (IRI)",,,,,,
"North Cowichan, District municipality (DM)",1.7598213159932992,9.979508742049658,55517.0,56494.0,37577.0,41327.0
"Squaw-Hay-One 11, Indian reserve (IRI)",,,,,,
"Theik 2, Indian reserve (IRI)",,,,,,
"Tsussie 6, Indian reserve (IRI)",,,,,,
"Tzart-Lam 5, Indian reserve (IRI)",,,,,,
Edmonton,-1.155298191830594,3.531886860615849,70458.0,69644.0,47057.0,48719.0
"Alexander 134, Indian reserve (IRI)",14.666127965914935,0.2912621359223301,27226.0,31219.0,35020.0,35122.0
"Beaumont, City (CY)",-5.234046550954741,3.5859325936780406,85154.0,80697.0,47770.0,49483.0
"Betula Beach, Summer village (SV)",,,,,,
"Bon Accord, Town (T)",-9.448770046840586,7.881159420289855,64474.0,58382.0,34500.0,37219.0
"Bruderheim, Town (T)",-7.2463135216967265,9.009588776626552,68697.0,63719.0,31078.0,33878.0
"Calmar, Town (T)",-5.4433596362177346,-2.459513293496146,67293.0,63630.0,34641.0,33789.0
"Devon, Town (T)",-4.750122963647475,2.3080236122723012,67093.0,63906.0,39471.0,40382.0
"Edmonton, City (CY)",0.05704418611822022,4.033896839465606,64862.0,64899.0,46258.0,48124.0
"Enoch Cree Nation, Indian reserve (IRI)",6.53364857851335,3.262086242737594,34682.0,36948.0,37522.0,38746.0
"Fort Saskatchewan, City (CY)",-2.3481296054719176,4.933509743681744,85089.0,83091.0,44593.0,46793.0
"Gibbons, Town (T)",-2.806934157193594,-0.5484415934187008,75741.0,73615.0,40843.0,40619.0
"Golden Days, Summer village (SV)",,,,,,
"Itaska Beach, Summer village (SV)",,,,,,
"Kapasiwin, Summer village (SV)",,,,,,
"Lakeview, Summer village (SV)",,,,,,
"Leduc, City (CY)",-2.0361358169715276,3.7236243276789405,71508.0,70052.0,43506.0,45126.0
"Leduc County, Municipal district (MD)",-5.422161649363317,2.8542448045667914,74841.0,70783.0,42393.0,43603.0
"Legal, Town (T)",-3.957079764057266,-2.493383060635226,67474.0,64804.0,33248.0,32419.0
"Morinville, Town (T)",-2.9649340825588935,4.315442603710559,74032.0,71837.0,44306.0,46218.0
"Parkland County, Municipal district (MD)",-3.9993288510169105,3.4898085237801113,83439.0,80102.0,45332.0,46914.0
"Point Alison, Summer village (SV)",,,,,,
"Redwater, Town (T)",-7.586601332447096,9.17637752152615,64693.0,59785.0,32867.0,35883.0
"Seba Beach, Summer village (SV)",,,,,,
"Spring Lake, Village (VL)",-0.8220250521920668,11.088125775755069,76640.0,76010.0,41089.0,45645.0
"Spruce Grove, City (CY)",-2.7353061251366335,3.3678814220439093,75933.0,73856.0,44865.0,46376.0
"St. Albert, City (CY)",-2.9911027862327324,0.8962387970150374,85420.0,82865.0,53334.0,53812.0
"Stony Plain, Town (T)",-2.27159606238248,4.266944522097131,72328.0,70685.0,39349.0,41028.0
"Strathcona County, Specialized municipality (SM)",-3.0727989720412956,1.3271826672212348,90276.0,87502.0,52894.0,53596.0
"Sturgeon County, Municipal district (MD)",-6.064676449847208,2.247213697302536,89337.0,83919.0,49528.0,50641.0
"Sundance Beach, Summer village (SV)",,,,,,
"Thorsby, Town (T)",-5.277301416120078,-6.260585910545135,56563.0,53578.0,31882.0,29886.0
"Wabamun 133A, Indian reserve (IRI)",42.44604316546763,27.572313656923487,18626.0,26532.0,26309.0,33563.0
"Wabamun 133B, Indian reserve (IRI)",,,,,,
"Warburg, Village (VL)",-12.246393032294826,-32.801587301587304,49141.0,43123.0,25200.0,16934.0
Edmundston,3.9995676143119665,5.191352614665498,46255.0,48105.0,34230.0,36007.0
"Edmundston, City (C)",4.086044293737417,5.367026980033037,47185.0,49113.0,34507.0,36359.0
"Rivière-Verte, Village (VL)",0.3178673504821433,19.523243045387993,37437.0,37556.0,21856.0,26123.0
"Rivière-Verte, Parish (P)",6.512069078301826,-1.6299753136518886,30574.0,32565.0,29571.0,29089.0
"Saint-Basile, Parish (P)",-0.46947029044939054,0.3954760496747487,35359.0,35193.0,27056.0,27163.0
"Saint-Jacques, Parish (P)",6.729687686969007,4.783354783354783,41785.0,44597.0,32634.0,34195.0
"Saint-Joseph, Parish (P)",1.6961879941693538,5.619140196293626,45278.0,46046.0,31891.0,33683.0
"St. Basile 10, Indian reserve (IRI)",3.5906587489615704,14.29343055836878,32501.0,33668.0,29622.0,33856.0
Elliot Lake,3.750156465139567,8.438390877415268,39945.0,41443.0,31570.0,34234.0
"Elliot Lake, City (CY)",3.750156465139567,8.438390877415268,39945.0,41443.0,31570.0,34234.0
Essa,1.8807641633728591,6.861293279740497,60720.0,61862.0,42543.0,45462.0
"Essa, Township (TP)",1.8807641633728591,6.861293279740497,60720.0,61862.0,42543.0,45462.0
Estevan,-3.503492063492063,3.389306440871468,78750.0,75991.0,42044.0,43469.0
"Bienfait, Town (T)",-11.006831386069079,9.609467455621301,62652.0,55756.0,33800.0,37048.0
"Estevan, City (CY)",-1.9951624501536247,5.001212121212121,76485.0,74959.0,41250.0,43313.0
"Estevan No. 5, Rural municipality (RM)",-11.33022629007805,-7.930757766823341,89045.0,78956.0,43615.0,40156.0
Fort St. John,-2.2112090063631915,6.4550435807920845,81720.0,79913.0,43253.0,46045.0
"Fort St. John, City (CY)",-1.1009622178543441,8.503131133750816,77841.0,76984.0,42796.0,46435.0
"Peace River C, Regional district electoral area (RDA)",-3.6015513007145317,0.6108653176724235,89989.0,86748.0,44527.0,44799.0
"Taylor, District municipality (DM)",6.199120497877327,5.93444437611463,65719.0,69793.0,32522.0,34452.0
Fredericton,3.694892300935161,6.603430290385968,54643.0,56662.0,41221.0,43943.0
"Bright, Parish (P)",3.00756946160239,4.823502357134644,44521.0,45860.0,34788.0,36466.0
"Devon 30, Indian reserve (IRI)",26.308633582596876,24.137681944594934,22065.0,27870.0,27687.0,34370.0
"Douglas, Parish (P)",-0.8986340762041696,6.911167069734972,50076.0,49626.0,40109.0,42881.0
"Fredericton, City (C)",4.847852028639618,7.53199268738574,53632.0,56232.0,41025.0,44115.0
"Gladstone, Parish (P)",-3.417427088924673,18.498756318703364,39123.0,37786.0,24926.0,29537.0
"Hanwell, Rural community (RCR)",2.99954433323382,0.6876270380140985,63643.0,65552.0,46246.0,46564.0
"Harvey, Village (VL)",0.6848138239120296,3.638730898375934,40741.0,41020.0,29186.0,30248.0
"Kingsclear, Parish (P)",1.9457676187911328,2.733081676121386,59411.0,60567.0,47419.0,48715.0
"Kingsclear 6, Indian reserve (IRI)",23.336819608021464,16.294427543221783,21991.0,27123.0,26954.0,31346.0
"Lincoln, Parish (P)",1.3588930086770383,7.413993042133746,52322.0,53033.0,38805.0,41682.0
"Manners Sutton, Parish (P)",1.7114862572107228,10.345942450695118,47152.0,47959.0,30930.0,34130.0
"Maugerville, Parish (P)",3.4547657162635748,9.850660539919588,46226.0,47823.0,34820.0,38250.0
"New Maryland, Parish (P)",2.7097522098246634,4.826918668330828,55208.0,56704.0,39259.0,41154.0
"New Maryland, Village (VL)",1.7158943652531389,3.701103529979597,67137.0,68289.0,45581.0,47268.0
"Prince William, Parish (P)",-0.0477565285345258,10.812117305833064,46067.0,46045.0,31030.0,34385.0
"Queensbury, Parish (P)",8.478364654311878,2.579341843307179,46082.0,49989.0,34156.0,35037.0
"Saint Marys, Parish (P)",0.007613681786169746,5.630026809651475,52537.0,52541.0,39538.0,41764.0
"Tracy, Village (VL)",3.6214922546879516,6.895982570230746,38023.0,39400.0,30293.0,32382.0
Gander,-0.3898005038469395,5.9137462197260415,58748.0,58519.0,39349.0,41676.0
"Appleton, Town (T)",-11.702360357135754,8.34868555721262,50289.0,44404.0,34197.0,37052.0
"Division No.  6, Subd. E, Subdivision of unorganized (SNO)",,,,,,
